change,changeOverTime,changePercent,close,fClose,fHigh,fLow,fOpen,fVolume,high,id,key,label,low,marketChangeOverTime,open,subkey,symbol,uClose,uHigh,uLow,uOpen,uVolume,updated,volume
1.03,0.087154472,0.0078,133.72,133.5205,135.7871,133.201,135.3777,96452124,135.99,HISTORICAL_PRICES,AAPL,30-Dec-20,133.4,0.087154472,135.58,,AAPL,133.72,135.99,133.4,135.58,96452124,2/5/2021 2:17,96452124
1.15,0.096504065,0.0086,134.87,134.6688,138.5819,134.1404,137.844,121047324,138.789,HISTORICAL_PRICES,AAPL,29-Dec-20,134.3409,0.096504065,138.05,,AAPL,134.87,138.789,134.3409,138.05,121047324,2/5/2021 2:16,121047324
1.82,0.111300813,0.0135,136.69,136.486,137.1351,133.3108,133.7901,124486237,137.34,HISTORICAL_PRICES,AAPL,28-Dec-20,133.51,0.111300813,133.99,,AAPL,136.69,137.34,133.51,133.99,124486237,2/5/2021 2:16,124486237
-4.72,0.072926829,-0.0345,131.97,131.7731,133.2609,130.9044,131.1241,54930064,133.46,HISTORICAL_PRICES,AAPL,24-Dec-20,131.1,0.072926829,131.32,,AAPL,131.97,133.46,131.1,131.32,54930064,2/5/2021 2:17,54930064
-1.01,0.064715447,-0.0077,130.96,130.7646,132.2324,130.5849,131.9628,88223692,132.43,HISTORICAL_PRICES,AAPL,23-Dec-20,130.78,0.064715447,132.16,,AAPL,130.96,132.43,130.78,132.16,88223692,2/5/2021 2:16,88223692
0.92,0.072195122,0.007,131.88,131.6832,134.2045,129.4565,131.4136,169351825,134.405,HISTORICAL_PRICES,AAPL,22-Dec-20,129.65,0.072195122,131.61,,AAPL,131.88,134.405,129.65,131.61,169351825,2/5/2021 2:17,169351825
-3.65,0.042520325,-0.0277,128.23,128.0387,128.1185,123.2648,124.8335,121251553,128.31,HISTORICAL_PRICES,AAPL,21-Dec-20,123.449,0.042520325,125.02,,AAPL,128.23,128.31,123.449,125.02,121251553,2/5/2021 2:16,121251553
-1.575,0.029715447,-0.0123,126.655,126.466,128.9074,125.9318,128.7676,192541496,129.1,HISTORICAL_PRICES,AAPL,18-Dec-20,126.12,0.029715447,128.96,,AAPL,126.655,129.1,126.12,128.96,192541496,2/5/2021 2:17,192541496
2.045,0.046341463,0.0161,128.7,128.508,129.3867,127.8539,128.7077,94359811,129.58,HISTORICAL_PRICES,AAPL,17-Dec-20,128.045,0.046341463,128.9,,AAPL,128.7,129.58,128.045,128.9,94359811,2/5/2021 2:17,94359811
-0.89,0.039105691,-0.0069,127.81,127.6193,128.1785,126.3712,127.2199,98208591,128.37,HISTORICAL_PRICES,AAPL,16-Dec-20,126.56,0.039105691,127.41,,AAPL,127.81,128.37,126.56,127.41,98208591,2/5/2021 2:17,98208591
0.07,0.039674797,0.0005,127.88,127.6892,127.7092,123.9448,124.1545,157572262,127.9,HISTORICAL_PRICES,AAPL,15-Dec-20,124.13,0.039674797,124.34,,AAPL,127.88,127.9,124.13,124.34,157572262,2/5/2021 2:16,157572262
-6.1,-0.009918699,-0.0477,121.78,121.5983,123.1659,121.3586,122.4171,79075988,123.35,HISTORICAL_PRICES,AAPL,14-Dec-20,121.54,-0.009918699,122.6,,AAPL,121.78,123.35,121.54,122.6,79075988,2/5/2021 2:16,79075988
0.63,-0.004796748,0.0052,122.41,122.2274,122.5768,120.3701,122.2473,86939786,122.76,HISTORICAL_PRICES,AAPL,11-Dec-20,120.55,-0.004796748,122.43,,AAPL,122.41,122.76,120.55,122.43,86939786,2/5/2021 2:17,86939786
0.83,0.00195122,0.0068,123.24,123.0561,123.6852,119.9707,120.3202,81312170,123.87,HISTORICAL_PRICES,AAPL,10-Dec-20,120.15,0.00195122,120.5,,AAPL,123.24,123.87,120.15,120.5,81312170,2/5/2021 2:17,81312170
-1.46,-0.009918699,-0.0118,121.78,121.5983,125.7621,120.8195,124.3442,115089193,125.95,HISTORICAL_PRICES,AAPL,9-Dec-20,121,-0.009918699,124.53,,AAPL,121.78,125.95,121,124.53,115089193,2/5/2021 2:17,115089193
2.6,0.011219512,0.0213,124.38,124.1944,124.7935,122.9063,124.1844,82225512,124.98,HISTORICAL_PRICES,AAPL,8-Dec-20,123.09,0.011219512,124.37,,AAPL,124.38,124.98,123.09,124.37,82225512,2/5/2021 2:16,82225512
-0.63,0.006097561,-0.0051,123.75,123.5654,124.3841,122.0676,122.1275,86711990,124.57,HISTORICAL_PRICES,AAPL,7-Dec-20,122.25,0.006097561,122.31,,AAPL,123.75,124.57,122.25,122.31,86711990,2/5/2021 2:16,86711990
-1.5,-0.006097561,-0.0121,122.25,122.0676,122.6775,121.3387,122.4171,78260421,122.8608,HISTORICAL_PRICES,AAPL,4-Dec-20,121.52,-0.006097561,122.6,,AAPL,122.25,122.8608,121.52,122.6,78260421,2/5/2021 2:17,78260421
0.69,-0.000487805,0.0056,122.94,122.7566,123.5953,122.0277,123.3357,78967630,123.78,HISTORICAL_PRICES,AAPL,3-Dec-20,122.21,-0.000487805,123.52,,AAPL,122.94,123.78,122.21,123.52,78967630,2/5/2021 2:16,78967630
0.14,0.000650407,0.0011,123.08,122.8964,123.1859,120.7096,121.8379,89004195,123.37,HISTORICAL_PRICES,AAPL,2-Dec-20,120.89,0.000650407,122.02,,AAPL,123.08,123.37,120.89,122.02,89004195,2/5/2021 2:17,89004195
-0.36,-0.002276423,-0.0029,122.72,122.5369,123.2851,119.8309,120.8294,128166803,123.4693,HISTORICAL_PRICES,AAPL,1-Dec-20,120.01,-0.002276423,121.01,,AAPL,122.72,123.4693,120.01,121.01,128166803,2/5/2021 2:17,128166803
-3.67,-0.032113821,-0.0299,119.05,118.8724,120.7895,116.6357,116.7955,169410176,120.97,HISTORICAL_PRICES,AAPL,30-Nov-20,116.81,-0.032113821,116.97,,AAPL,119.05,120.97,116.81,116.97,169410176,2/5/2021 2:17,169410176
-2.46,-0.052113821,-0.0207,116.59,116.416,117.3147,116.0466,116.3961,46691331,117.49,HISTORICAL_PRICES,AAPL,27-Nov-20,116.22,-0.052113821,116.57,,AAPL,116.59,117.49,116.22,116.57,46691331,2/5/2021 2:16,46691331
-0.56,-0.056666667,-0.0048,116.03,115.8569,116.5758,114.9982,115.3776,76499234,116.75,HISTORICAL_PRICES,AAPL,25-Nov-20,115.17,-0.056666667,115.55,,AAPL,116.03,116.75,115.17,115.55,76499234,2/5/2021 2:16,76499234
-0.86,-0.063658537,-0.0074,115.17,114.9982,115.6771,112.422,113.74,113874218,115.85,HISTORICAL_PRICES,AAPL,24-Nov-20,112.59,-0.063658537,113.91,,AAPL,115.17,115.85,112.59,113.91,113874218,2/5/2021 2:16,113874218
-1.32,-0.074390244,-0.0115,113.85,113.6801,117.4447,113.5803,117.0052,127959318,117.6202,HISTORICAL_PRICES,AAPL,23-Nov-20,113.75,-0.074390244,117.18,,AAPL,113.85,117.6202,113.75,117.18,127959318,2/5/2021 2:17,127959318
3.49,-0.04601626,0.0307,117.34,117.1649,118.5928,117.115,118.463,73604287,118.77,HISTORICAL_PRICES,AAPL,20-Nov-20,117.29,-0.04601626,118.64,,AAPL,117.34,118.77,117.29,118.64,73604287,2/5/2021 2:16,73604287
1.3,-0.035447154,0.0111,118.64,118.463,118.8824,116.6357,117.4145,74112972,119.06,HISTORICAL_PRICES,AAPL,19-Nov-20,116.81,-0.035447154,117.59,,AAPL,118.64,119.06,116.81,117.59,74112972,2/5/2021 2:17,74112972
-0.61,-0.040406504,-0.0051,118.03,117.8539,119.6412,117.8239,118.433,76322111,119.82,HISTORICAL_PRICES,AAPL,18-Nov-20,118,-0.040406504,118.61,,AAPL,118.03,119.82,118,118.61,76322111,2/5/2021 2:16,76322111
1.36,-0.029349593,0.0115,119.39,119.2119,120.494,118.7825,119.3716,74270973,120.6741,HISTORICAL_PRICES,AAPL,17-Nov-20,118.96,-0.029349593,119.55,,AAPL,119.39,120.6741,118.96,119.55,74270973,2/5/2021 2:16,74270973
0.91,-0.02195122,0.0076,120.3,120.1205,120.8095,117.9697,118.7426,91183018,120.99,HISTORICAL_PRICES,AAPL,16-Nov-20,118.146,-0.02195122,118.92,,AAPL,120.3,120.99,118.146,118.92,91183018,2/5/2021 2:17,91183018
-1.04,-0.030406504,-0.0086,119.26,119.0821,119.4931,117.6941,119.2618,81688586,119.6717,HISTORICAL_PRICES,AAPL,13-Nov-20,117.87,-0.030406504,119.44,,AAPL,119.26,119.6717,117.87,119.44,81688586,2/5/2021 2:16,81688586
